identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.02363	2.363e-05
Algorithm:ParticleSelector	0.004687	4.687e-06
Algorithm:Geant4Simulation	2.032	0.002032
Writer:RootParticleWriter	0.5538	0.0005538
Writer:RootSimHitWriter	0.2391	0.0002391
Algorithm:DigitizationAlgorithm	0.2477	0.0002477
Writer:RootMeasurementWriter	0.4136	0.0004136
Algorithm:TelescopeSeedingAlgorithm	0.009136	9.136e-06
Algorithm:TrackFindingAlgorithm	2.473	0.002473
Writer:RootTrackStatesWriter	2.9	0.0029
Writer:RootTrackSummaryWriter	0.2123	0.0002123
Writer:CKFPerformanceWriter	0.09534	9.534e-05
