identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.002626	2.626e-05
Algorithm:ParticleSelector	0.000593	5.93e-06
Algorithm:Geant4Simulation	0.7181	0.007181
Writer:RootParticleWriter	0.0782	0.000782
Writer:RootSimHitWriter	0.01938	0.0001938
Algorithm:DigitizationAlgorithm	0.02189	0.0002189
Writer:RootMeasurementWriter	0.0333	0.000333
Algorithm:TelescopeSeedingAlgorithm	0.001104	1.104e-05
Algorithm:TrackFindingAlgorithm	0.6406	0.006406
Writer:RootTrackStatesWriter	0.9066	0.009066
Writer:RootTrackSummaryWriter	0.05707	0.0005707
Writer:CKFPerformanceWriter	0.01573	0.0001573
